paperID_cited,paperID_citing
36833670,128725225
36833670,20901854
36833670,265288747
36833670,214090037
36833670,172709235
36833670,222856387
36833670,109335850
36833670,218155783
36833670,258790926
36833670,198893053
36833670,179081275
36833670,88634815
36833670,73187080
36833670,82089198
36833670,123594221
36833670,112532675
36833670,213330802
36833670,186375032
258790926,72915209
258790926,153524263
258790926,62882485
258790926,268805100
258790926,113565652
258790926,155980968
258790926,123594221
258790926,37553840
258790926,100476127
258790926,220192299
258790926,44610313
258790926,76745315
258790926,198893053
258790926,16647308
258790926,53723223
258790926,217492134
258790926,88634815
37553840,225790380
37553840,265288747
37553840,73431108
37553840,182334866
37553840,177250985
37553840,179081275
37553840,192220252
37553840,17317040
37553840,258790926
37553840,268697564
37553840,160639247
37553840,138760739
37553840,53723223
73431108,182334866
73431108,37553840
73431108,201226435
73431108,268697564
73431108,16647308
73431108,238724897
73431108,198893053
73431108,268805100
73431108,132612270
73431108,36833670
73431108,186375032
73431108,681669
73431108,82089198
73431108,76745315
73431108,122091363
4286278,267950777
4286278,128725225
78794320,221673644
78794320,204079890
78794320,192220252
78794320,153872722
78794320,177250985
78794320,102416176
78794320,198893053
78794320,56555627
78794320,266694665
78794320,222856387
78794320,10833500
194216967,100476127
194216967,78794320
194216967,175548404
194216967,99115501
194216967,192484922
194216967,96053489
194216967,37553840
194216967,182334866
194216967,238724897
214090037,250466801
214090037,175548404
214090037,220353019
214090037,14640476
214090037,268805100
214090037,36833670
214090037,88634815
214090037,62882485
214090037,52858045
214090037,265288747
214090037,109335850
214090037,204698397
214090037,204079890
56555627,225790380
56555627,54484490
56555627,218155783
56555627,134955930
56555627,10833500
56555627,175548404
56555627,157228697
56555627,265288747
56555627,194216967
56555627,184037610
56555627,204079890
56555627,37553840
56555627,177802287
56555627,132074289
56555627,52858045
56555627,112532675
56555627,220353019
56555627,72915209
56555627,53723223
82089198,78794320
82089198,238724897
82089198,113565652
82089198,153872722
82089198,96053489
82089198,266694665
82089198,182334866
73871837,100476127
73871837,148629271
73871837,213330802
73871837,199840403
73871837,214090037
73871837,155980968
73871837,198893053
73871837,96053489
73871837,97892608
73871837,221673644
73871837,268697564
73871837,219591472
73871837,52858045
73871837,222856387
73871837,182334866
73871837,204781074
73871837,168204084
73871837,4286278
73871837,218155783
73871837,153524263
73871837,82089198
99115501,76745315
99115501,73431108
99115501,27499569
99115501,17317040
99115501,219591472
99115501,20089662
99115501,250466801
179081275,112532675
179081275,152198704
179081275,186375032
179081275,220353019
179081275,204079890
179081275,10833500
179081275,268697564
179081275,61880248
179081275,14640476
179081275,37553840
179081275,120596926
179081275,221673644
179081275,63344908
179081275,17317040
179081275,204781074
179081275,102416176
181456576,132074289
181456576,138760739
181456576,214090037
181456576,219591472
181456576,199840403
181456576,20089662
181456576,109335850
186375032,192220252
186375032,220353019
186375032,132612270
186375032,4286278
186375032,62882485
186375032,15616987
186375032,54484490
186375032,123594221
186375032,134955930
186375032,36833670
186375032,175548404
186375032,96053489
199840403,138760739
199840403,268805100
199840403,261801042
199840403,82089198
199840403,182334866
199840403,153524263
199840403,152198704
204079890,179081275
204079890,222856387
204079890,124672760
204079890,62882485
204079890,238724897
204079890,199840403
220353019,120596926
220353019,102416176
220353019,268697564
220353019,261801042
220353019,184037610
220353019,204079890
220353019,96053489
220353019,36833670
220353019,132612270
220353019,153524263
220353019,168204084
220353019,124672760
220353019,122091363
220353019,112532675
220353019,73871837
220353019,264049796
220353019,53723223
220353019,238724897
220353019,27499569
220353019,153872722
220353019,152198704
220353019,161530920
220353019,56555627
220353019,73431108
220353019,199840403
222856387,182334866
222856387,138760739
222856387,155980968
222856387,124672760
222856387,198893053
222856387,53723223
222856387,17317040
222856387,82089198
222856387,204781074
222856387,99115501
222856387,120596926
222856387,78794320
222856387,161530920
222856387,109335850
222856387,73431108
222856387,153524263
222856387,261801042
222856387,4286278
222856387,219591472
122599050,132074289
122599050,61880248
122599050,99115501
122599050,36833670
122599050,204698397
122599050,62882485
122599050,122091363
122599050,222856387
122599050,221673644
122599050,96053489
122599050,88634815
122599050,179081275
122599050,10833500
122599050,97892608
122599050,218155783
122599050,192220252
122599050,72915209
219591472,124672760
219591472,179081275
219591472,85755715
219591472,113565652
219591472,160639247
219591472,192220252
219591472,27499569
219591472,52858045
219591472,20901854
219591472,123594221
219591472,62882485
219591472,112532675
219591472,132612270
219591472,97892608
219591472,238724897
219591472,265288747
219591472,72915209
219591472,264049796
219591472,168204084
219591472,181456576
219591472,194216967
219591472,221673644
172709235,217492134
172709235,36833670
172709235,63068375
172709235,122599050
172709235,157228697
172709235,54484490
172709235,261801042
172709235,175548404
172709235,268805100
172709235,120596926
172709235,250466801
172709235,56555627
172709235,177802287
172709235,27499569
172709235,100476127
172709235,123594221
172709235,194216967
153872722,97892608
153872722,213330802
153872722,192484922
153872722,261801042
153872722,63068375
264049796,85755715
264049796,186375032
264049796,100476127
264049796,82089198
264049796,268697564
264049796,76745315
264049796,73187080
264049796,181456576
264049796,192484922
264049796,201226435
264049796,99115501
264049796,199840403
264049796,57733214
264049796,153872722
264049796,182334866
264049796,73871837
264049796,56555627
264049796,177802287
264049796,213330802
264049796,198893053
264049796,192220252
264049796,78794320
264049796,132612270
264049796,194216967
184037610,153524263
184037610,20901854
184037610,168204084
184037610,109335850
184037610,63068375
182334866,120596926
182334866,261801042
182334866,14640476
182334866,238724897
182334866,62882485
182334866,168204084
182334866,15616987
182334866,153872722
182334866,221673644
182334866,109335850
182334866,132612270
182334866,266694665
182334866,73871837
182334866,204698397
182334866,102416176
182334866,61880248
182334866,56555627
192484922,160639247
192484922,14640476
192484922,182334866
192484922,15616987
192484922,184037610
192484922,177250985
192484922,88634815
192484922,194216967
192484922,267950777
192484922,161530920
192484922,220192299
192484922,213330802
192484922,73431108
192484922,264049796
192484922,219591472
192484922,20901854
192484922,681669
192484922,217492134
192484922,242294658
192484922,78794320
153524263,57733214
153524263,266694665
153524263,138760739
153524263,37553840
153524263,14640476
153524263,85755715
153524263,161530920
153524263,198893053
153524263,152198704
153524263,88634815
153524263,219591472
153524263,155980968
153524263,222856387
153524263,184037610
153524263,160639247
153524263,89122927
153524263,27499569
153524263,261801042
153524263,120596926
204781074,220192299
204781074,192220252
204781074,217492134
204781074,138760739
204781074,160639247
204781074,61880248
204781074,268805100
204781074,266694665
204781074,681669
204781074,198893053
204781074,82089198
204781074,238724897
204781074,201226435
204781074,128725225
204781074,89122927
204781074,16647308
204781074,168204084
204781074,122599050
204781074,122091363
204781074,192484922
204781074,184037610
204781074,258790926
204781074,99115501
204781074,148629271
250466801,204079890
250466801,120596926
250466801,27499569
250466801,112532675
250466801,20089662
250466801,89122927
250466801,186375032
250466801,109335850
250466801,52858045
250466801,72915209
250466801,54484490
160639247,204781074
160639247,261801042
160639247,88634815
160639247,250466801
160639247,122599050
160639247,54484490
160639247,120596926
160639247,124672760
160639247,14640476
160639247,242294658
160639247,36833670
160639247,97892608
160639247,20089662
160639247,265288747
160639247,10833500
160639247,217492134
168204084,266694665
168204084,220192299
168204084,120596926
168204084,97892608
168204084,89122927
168204084,99115501
168204084,17317040
168204084,172709235
218155783,681669
218155783,57733214
201226435,97892608
201226435,182334866
201226435,221673644
201226435,681669
201226435,153524263
201226435,184037610
201226435,4286278
201226435,132074289
201226435,261801042
201226435,192220252
201226435,89122927
201226435,157228697
201226435,63068375
201226435,63344908
201226435,220353019
201226435,53723223
201226435,100476127
201226435,242294658
201226435,204079890
201226435,168204084
201226435,122599050
265930238,120596926
265930238,177250985
265930238,192220252
265930238,161530920
265930238,182334866
265930238,20901854
265930238,63344908
265930238,72915209
238724897,220353019
238724897,204698397
238724897,76745315
238724897,73187080
238724897,27499569
238724897,184037610
238724897,36833670
238724897,56555627
238724897,266694665
238724897,268805100
238724897,177250985
238724897,122091363
238724897,62882485
238724897,250466801
157228697,52858045
63344908,220353019
63344908,134955930
63344908,172709235
63344908,266694665
63344908,52858045
